id,web_name,full_name,team,team_short,pos,price,selected_by_percent,status,chance_next,news,total_points,form,points_per_game,minutes,starts,goals_scored,assists,clean_sheets,goals_conceded,yellow_cards,red_cards,saves,bonus,bps,defensive_contribution,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,influence,creativity,threat,ict_index,ep_this,ep_next,cost_change_event,cost_change_start,transfers_in_event,transfers_out_event,penalties_order,corners_order,freekicks_order
326,Perri,Lucas Estella Perri,Leeds,LEE,GKP,4.5,0.3,u,0,Has joined Torino on loan for the rest of the season,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,2590,,,
57,Petrović,Đorđe Petrović,Bournemouth,BOU,GKP,4.5,3.1,a,,,7,1.8,1.8,360,4,0,0,0,7,0,0,9,0,33,0,0.00,0.00,0.00,5.30,74.0,0.0,0.0,7.4,1.8,1.8,0,0,5141,19205,,,
507,Phillips,Ashley Phillips,Spurs,TOT,DEF,4.5,0.0,u,0,Has joined Middlesbrough permanently,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,85,,,
91,Pinnock,Ethan Pinnock,Coventry City,COV,DEF,4.5,0.1,a,,,6,1.5,2.0,192,2,0,0,0,7,1,0,0,0,-9,25,0.12,0.00,0.12,5.47,40.0,1.4,10.0,5.2,1.5,1.5,0,0,315,531,,,
536,Reinildo,Reinildo Mandava,Sunderland,SUN,DEF,4.5,0.3,s,0,Suspended until 10 Oct,7,1.8,1.8,360,4,0,0,1,5,0,1,0,0,37,29,0.00,0.32,0.32,5.05,53.8,36.4,6.0,9.5,1.8,0.0,0,0,119,6866,,,
254,Robinson,Antonee Robinson,Fulham,FUL,DEF,4.5,1.4,a,,,10,2.5,2.5,339,4,0,0,1,7,0,0,0,0,46,24,0.26,0.21,0.47,7.48,63.6,76.7,18.0,15.8,2.5,2.5,0,0,7842,8143,2,,
596,Ruggeri,Matteo Ruggeri,Aston Villa,AVL,DEF,4.5,0.1,a,,,2,0.5,1.0,23,0,0,0,0,0,0,0,0,0,6,3,0.00,0.01,0.01,0.49,6.6,2.6,0.0,0.9,0.5,0.5,0,0,466,905,,,
110,Rushworth,Carl Rushworth,Coventry City,COV,GKP,4.5,0.8,a,,,5,1.2,1.2,360,4,0,0,0,10,0,0,7,0,18,0,0.00,0.02,0.02,7.53,61.6,0.0,0.0,6.2,1.2,1.2,0,0,736,8910,,,
653,Samba,Floyd Samba,Man City,MCI,MID,4.5,0.0,a,,,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0,0,504,766,,,
475,Savona,Nicolò Savona,Nott'm Forest,NFO,DEF,4.5,0.0,i,0,Knee injury - Unknown return date,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0,0,13,23,,,
528,Scarlett,Dane Scarlett,Spurs,TOT,FWD,4.5,1.2,u,0,Has joined Leyton Orient permanently,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,14325,,,
564,Scherpen,Kjell Scherpen,Ipswich Town,IPS,GKP,4.5,0.6,a,,,7,1.8,1.8,360,4,0,0,0,10,0,0,15,0,40,0,0.00,0.01,0.01,6.74,103.6,0.0,0.0,10.3,1.8,1.8,0,0,1865,2898,,,
93,Schuster,Jannik Schuster,Brentford,BRE,DEF,4.5,0.1,a,,,7,1.8,3.5,163,1,0,0,0,3,0,0,0,0,16,22,0.10,0.02,0.12,3.36,39.4,0.7,12.0,5.2,1.8,1.8,0,0,246,642,,,
537,Seelt,Jenson Seelt,Sunderland,SUN,DEF,4.5,0.0,u,0,Has joined Swansea City on loan for the rest of the season,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,38,,,
189,Shepherd,George Shepherd,Coventry City,COV,MID,4.5,0.2,a,,,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0,0,359,1936,,,
290,Slater,Regan Slater,Hull City,HUL,MID,4.5,5.5,a,,,13,3.2,3.2,360,4,0,1,3,2,1,0,0,0,58,30,0.08,0.56,0.64,5.96,58.0,61.3,17.0,13.7,3.2,3.2,0,0,48570,44746,,1,
64,Smith,Adam Smith,Bournemouth,BOU,DEF,4.5,0.1,a,,,2,0.5,0.5,360,4,0,0,0,7,3,0,0,0,11,21,0.01,0.07,0.08,5.30,43.6,43.6,4.0,9.1,0.5,0.5,0,0,635,1443,,,
205,Sosa,Borna Sosa,Crystal Palace,CRY,DEF,4.5,0.0,u,0,Has joined FC Cologne on loan for the rest of the season,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,229,,,
505,Spence,Djed Spence,Spurs,TOT,DEF,4.5,0.2,u,0,Has joined Internazionale permanently,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,2205,,,
312,Taylor,Jack Taylor,Ipswich Town,IPS,MID,4.5,0.0,i,0,Knee injury - Unknown return date,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0,0,67,278,,,
83,Valdimarsson,Hákon Rafn Valdimarsson,Brentford,BRE,GKP,4.5,0.1,a,,,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0,0,242,649,,,
554,Van Oevelen,Kayne van Oevelen,Ipswich Town,IPS,GKP,4.5,0.0,u,0,Has joined Valencia on loan for the rest of the season,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,188,,,
109,Verbruggen,Bart Verbruggen,Brighton,BHA,GKP,4.5,21.7,a,,,17,4.2,4.2,360,4,0,0,2,5,0,0,10,0,80,0,0.00,0.20,0.20,7.04,93.8,3.0,0.0,9.7,4.2,4.2,0,0,66291,93556,,,
494,Vicario,Guglielmo Vicario,Spurs,TOT,GKP,4.5,0.1,u,0,Has joined Juventus on loan for the rest of the season,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1411,,,
396,Vitor Reis,Vitor de Oliveira Nunes dos Reis,Man City,MCI,DEF,4.5,0.0,a,,,1,0.2,1.0,1,0,0,0,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,1.2,0.9,0.0,0.2,0.2,0.2,0,0,132,212,,,
321,Walle Egeli,Sindre Walle Egeli,Ipswich Town,IPS,FWD,4.5,3.6,a,,,1,0.2,1.0,10,0,0,0,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.03,0.0,0.1,0.0,0.0,0.2,0.2,0,0,46341,34443,,,
611,Wan-Bissaka,Aaron Wan-Bissaka,Aston Villa,AVL,DEF,4.5,0.2,a,,,5,1.7,1.7,107,1,0,0,0,2,0,0,0,0,18,15,0.00,0.06,0.06,2.63,32.4,15.0,0.0,4.7,1.7,1.7,0,0,3579,1692,,,
601,Williams-Barnett,Luca Williams-Barnett,Spurs,TOT,MID,4.5,0.1,a,,,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0,0,537,1336,,,
605,Yalcouyé,Malick Yalcouyé,Brighton,BHA,MID,4.5,3.9,a,,,19,4.8,4.8,231,3,2,0,1,4,0,0,0,1,87,18,1.42,0.27,1.69,6.43,107.0,60.0,105.0,27.2,4.8,4.8,0,0,94678,30354,,,
489,Yates,Ryan Yates,Nott'm Forest,NFO,MID,4.5,1.3,a,100,,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2503,11919,,,
294,Zambrano,Óscar Zambrano,Hull City,HUL,MID,4.5,0.1,a,100,,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1077,909,,,
626,Zepa,Macaulay Zepa,Fulham,FUL,MID,4.5,0.3,a,,,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0,0,941,4021,,,
